shape,A,d,tw,bf,tf,rts,ho,eo,Ixx,Sx,rx,Zx,Iyy,Sy,ry,xbar,Zy,xp,J,Cw,ro,H
C15X50,14.7,15,0.716,3.72,0.65,1.17,14.4,0.583,404,53.8,5.24,68.5,11,3.77,0.865,0.799,8.14,0.49,2.65,492,5.49,0.937
C15X40,11.8,15,0.52,3.52,0.65,1.17,14.4,0.767,348,46.5,5.45,57.5,9.17,3.34,0.883,0.778,6.84,0.392,1.45,410,5.73,0.927
C15X33.9,10,15,0.4,3.4,0.65,1.13,14.4,0.896,315,42,5.62,50.8,8.07,3.09,0.901,0.788,6.19,0.332,1.01,358,5.94,0.92
C12X30,8.81,12,0.51,3.17,0.501,1.01,11.5,0.618,162,27,4.29,33.8,5.12,2.05,0.762,0.674,4.32,0.367,0.861,151,4.54,0.919
C12X25,7.34,12,0.387,3.05,0.501,1,11.5,0.746,144,24,4.42,29.4,4.45,1.87,0.779,0.674,3.82,0.306,0.538,130,4.72,0.909
C12X20.7,6.08,12,0.282,2.94,0.501,0.983,11.5,0.87,129,21.5,4.61,25.6,3.86,1.72,0.797,0.698,3.47,0.253,0.369,112,4.93,0.899
C10X30,8.81,10,0.673,3.03,0.436,0.925,9.56,0.386,103,20.7,3.42,26.7,3.93,1.65,0.668,0.649,3.78,0.441,1.22,79.5,3.63,0.922
C10X25,7.34,10,0.526,2.89,0.436,0.911,9.56,0.494,91.1,18.2,3.52,23.1,3.34,1.47,0.675,0.618,318,0.367,0.687,68.3,3.75,0.912
C10X20,5.87,10,0.379,2.74,0.436,0.894,9.56,0.636,78.9,15.8,3.66,19.4,2.8,1.31,0.69,0.606,2.7,0.294,0.368,56.9,3.93,0.9
C10X15.3,4.48,10,0.24,2.6,0.436,0.869,9.56,0.796,67.3,13.5,3.87,15.9,2.27,1.15,0.711,0.634,2.34,0.224,0.209,45.5,4.19,0.884
C9X20,5.87,9,0.448,2.65,0.413,0.848,8.59,0.515,60.9,13.5,3.22,16.9,2.41,1.17,0.64,0.583,2.46,0.326,0.427,39.4,3.46,0.899
C9X15,4.41,9,-0.285,2.49,0.413,0.824,8.59,0.681,51,11.3,3.4,13.6,1.91,1.01,0.659,0.586,2.04,0.245,0.208,31,3.69,0.882
C9X13.4,3.94,9,0.233,2.43,0.413,0.813,8.59,0.742,47.8,10.6,3.49,12.6,1.75,0.954,0.666,0.601,1.94,0.219,1.68,28.2,3.79,0.875
C8X18.7,5.51,8,0.487,2.53,0.39,0.8,7.61,0.431,43.9,11,2.82,13.9,1.97,1.01,0.598,0.565,2.17,0.344,0.434,25.1,3.05,0.894
C8X13.7,4.04,8,0.303,2.34,0.39,0.774,7.61,0.604,36.1,9.02,2.99,11,1.52,0.848,0.613,0.554,1.73,0.252,0.186,19.2,3.26,0.874
C8X11.5,3.37,8,0.22,2.26,0.39,0.756,7.61,0.697,32.5,8.14,3.11,9.63,1.31,0.775,0.623,0.572,1.57,0.211,0.13,16.5,3.41,0.862
C7X14.7,4.33,7,0.419,2.3,0.366,0.738,6.63,0.441,27.2,7.78,2.51,9.75,1.37,0.772,0.561,0.532,1.63,0.309,0.267,13.1,2.75,0.875
C7X12.2,3.6,7,0.314,2.19,0.366,0.721,6.63,0.538,24.2,6.92,2.6,8.46,1.16,0.696,0.568,0.525,1.42,0.257,0.161,11.2,2.86,0.862
C7X9.8,2.87,7,0.21,2.09,0.366,0.698,6.63,0.647,21.2,6.07,2.72,7.19,0.957,0.617,0.578,0.541,1.26,0.205,0.0996,9.15,3.03,0.846
C6X13,3.81,6,0.437,2.16,0.343,0.689,5.66,0.38,17.3,5.78,2.13,7.29,1.05,0.638,0.524,0.514,1.35,0.318,0.237,7.19,2.37,0.858
C6X10.5,3.08,6,0.314,2.03,0.343,0.669,5.66,0.486,15.1,5.04,2.22,6.18,0.86,0.561,0.529,0.5,1.14,0.256,0.128,5.91,2.48,0.842
C6X8.2,2.39,6,0.2,1.92,0.343,0.643,5.66,0.599,13.1,4.35,2.34,5.16,0.687,0.488,0.536,0.512,0.987,0.199,0.0736,4.7,2.64,0.823
C5X9,2.64,5,0.325,1.89,0.32,0.617,4.68,0.427,8.89,3.56,1.83,4.39,0.624,0.444,0.486,0.478,0.913,0.264,0.109,2.93,2.1,0.815
C5X6.7,1.97,5,0.19,1.75,0.32,0.584,4.68,0.552,7.84,2.99,1.95,3.55,0.47,0.372,0.489,0.484,0.757,0.215,0.0549,2.22,2.26,0.791
C4X7.2,2.13,4,0.321,1.72,0.296,0.563,3.7,0.386,4.58,2.29,1.47,2.84,0.425,0.337,0.447,0.459,0.695,0.266,0.0817,1.24,1.75,0.767
C4X5.4,1.58,4,0.184,1.58,0.296,0.528,3.7,0.501,3.85,1.92,1.56,2.29,0.312,0.277,0.444,0.457,0.565,0.231,0.0399,0.921,1.88,0.741
C4X4.5,1.38,4,0.125,1.58,0.296,0.524,3.7,0.587,3.65,1.83,1.63,2.12,0.289,0.265,0.457,0.493,0.531,0.321,0.0322,0.871,2,0.71
C3X6,1.76,3,0.356,1.6,0.273,0.519,2.73,0.322,2.07,1.38,1.08,1.74,0.3,0.263,0.413,0.455,0.543,0.294,0.0725,0.462,1.4,0.69
C3X5,1.47,3,0.258,1.5,0.273,0.495,2.73,0.392,1.85,1.23,1.12,1.52,0.241,0.228,0.405,0.439,0.464,0.245,0.0425,0.379,1.45,0.674
C3X4.1,1.2,3,0.17,1.41,0.273,0.469,2.73,0.461,1.65,1.1,1.17,1.32,0.191,0.196,0.398,0.437,0.399,0.262,0.0269,0.307,1.53,0.655
C3X3.5,1.09,3,0.132,1.37,0.273,0.455,2.73,0.493,1.57,1.04,1.2,1.24,0.169,0.182,0.394,0.443,0.364,0.296,0.0226,0.276,1.57,0.645
MC18X58,17.1,18,0.7,4.2,0.625,1.35,17.4,0.695,675,75,6.29,95.4,17.6,5.28,1.02,0.862,10.7,0.474,2.81,1070,6.56,None
MC18X51.9,15.3,18,0.6,4.1,0.625,1.35,17.4,0.797,627,69.6,6.41,87.3,16.3,5.02,1.03,0.858,9.86,0.424,2.03,985,6.7,None
MC18X45.8,13.5,18,0.5,4,0.625,1.34,17.4,0.909,578,64.2,6.55,79.2,14.9,4.77,1.05,0.866,9.14,0.374,1.45,897,6.87,None
MC18X42.7,12.6,18,4.5,3.95,0.625,1.34,17.4,0.969,554,61.5,6.64,75.1,14.3,4.64,1.07,0.877,8.82,0.349,1.23,852,6.97,None
MC13X50,14.7,13,0.787,4.41,0.61,1.41,12.4,0.815,314,48.3,4.62,60.8,16.4,4.77,1.06,0.974,10.2,0.566,2.96,558,5.07,None
MC13X40,11.8,13,0.56,4.19,0.61,1.38,12.4,1.03,273,41.9,4.82,51.2,13.7,4.24,1.08,0.963,8.66,0.452,1.55,462,5.32,None
MC13X35,10.3,13,0.447,4.07,0.61,1.35,12.4,1.16,252,38.8,4.95,46.5,12.3,3.97,1.09,0.98,8.04,0.396,1.13,412,5.5,None
MC13X31.8,9.35,13,0.375,4,0.61,1.34,12.4,1.24,239,36.7,5.05,43.4,11.4,3.79,1.1,1,7.69,0.36,0.937,380,5.64,None
MC12X50,14.7,12,0.835,4.14,0.7,1.37,11.3,0.741,269,44.9,4.28,56.5,17.4,6=5.64,1.09,1.05,10.9,0.613,3.23,411,4.77,None
MC12X45,13.2,12,0.71,4.01,0.7,1.35,11.3,0.845,251,41.9,4.36,52,15.8,5.3,1.09,1.04,10.1,0.55,2.33,373,4.88,None
MC12X40,11.8,12,0.59,3.89,0.7,1.33,11.3,0.952,234,39,4.46,47.7,14.2,4.98,1.1,1.04,9.31,0.49,1.69,336,5.01,None
