shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W44X335,98.5,44,1.03,15.9,1.77,2.56,31100,1410,17.8,1620,1200,150,3.49,236,4.24,42.3,74.7,535000
W44X290,85.4,43.6,0.865,15.8,1.58,2.36,27000,1240,17.8,1410,1040,132,3.49,205,4.21,42,50.9,461000
W44X262,76.9,43.3,0.785,15.8,1.42,2.2,24100,1110,17.7,1270,923,117,3.47,182,4.17,41.9,37.3,405000
W44X230,67.7,42.9,0.71,15.8,1.22,2.01,20800,971,17.5,1100,976,101,3.43,157,4.13,41.7,24.9,346000
W40X593,174,43,1.79,16.7,3.23,4.41,50400,2340,17,2760,2520,302,3.8,481,4.62,39.8,445,997000
W40X503,148,42.1,1.54,16.4,2.76,3.94,41600,1980,16.8,2310,2040,249,3.72,394,4.5,39.3,277,789000
W40X431,127,41.3,1.34,16.2,2.36,3.54,34800,1690,16.6,1960,1690,208,3.65,328,4.41,38.9,177,638000
W40x397,117,41,1.22,16.1,2.2,3.38,32000,1560,16.6,1800,1540,191,3.64,300,4.37,38.8,142,579000
W40X372,109,40.6,1.16,16.1,2.05,3.23,29600,1460,16.5,1680,1420,177,3.6,277,4.34,38.6,116,528000
W40X362,107,40.6,1.12,16,2.01,3.19,28900,1420,16.5,1640,1380,173,3.6,270,4.33,38.5,109,513000
W40X324,95.3,40.2,1,15.9,1.81,2.99,25600,1280,16.4,1460,1220,153,3.58,239,4.28,38.4,79.4,448000
W40X297,87.4,39.8,0.93,15.8,1.65,2.83,23200,1170,16.3,1330,1090,138,3.54,215,4.23,38.2,61.2,399000
W40X277,81.4,39.7,0.83,15.8,1.58,2.76,21900,1100,16.4,1250,1040,132,3.58,204,4.25,38.1,51.5,379000
W40X249,73.3,39.4,0.75,15.8,1.42,2.6,19600,993,16.3,1120,926,118,3.55,182,4.21,38,38.1,334000
W40X215,63.4,39,0.65,15.8,1.22,2.4,16700,859,16.2,964,796,101,3.54,156,4.18,37.8,24.8,284000
W40X199,58.5,38.7,0.65,15.8,1.07,2.25,14900,770,16,869,695,88.2,3.45,137,4.12,37.6,18.3,246000
W40X392,115,41.6,1.42,12.4,2.52,3.7,29900,1440,16.1,1710,803,130,2.64,212,3.3,39.1,172,306000
W40X331,97.5,40.8,1.22,12.2,2.13,3.31,24700,1210,15.9,1430,644,106,2.57,172,3.21,38.7,105,241000
W40X327,96,40.8,1.18,12.1,2.13,3.31,24500,1200,16,1410,640,105,2.58,170,3.21,38.7,103,239000
W40X294,86.3,40.4,1.06,12,1.93,3.11,21900,1080,15.9,1270,562,93.5,2.55,150,3.16,38.5,76.6,208000
W40X278,82,40.2,1.03,12,1.81,2.99,20500,1020,15.8,1190,521,87.1,2.52,140,3.13,38.4,65,192000
W40X264,77.6,40,0.96,11.9,1.73,2.91,19400,971,15.8,1130,493,82.6,2.52,132,3.12,38.3,56.1,181000
W40X235,69,39.7,0.83,11.9,1.58,2.76,17400,875,15.9,1010,444,74.6,2.54,118,3.11,38.1,41.3,161000
W40X211,62,39.4,0.75,11.8,1.42,2.6,15500,786,15.8,906,390,66.1,2.51,105,3.07,38,30.4,141000
W40X182,53.3,39,0.65,11.8,1.2,2.38,132000,675,15.7,774,331,56,2.49,88.3,3.04,37.8,19.3,118000
W40X167,49.2,38.6,0.65,11.8,1.03,2.21,11600,600,15.3,693,283,47.9,2.4,76,2.98,37.6,14,99700
W40X149,43.8,38.2,0.63,11.8,0.83,2.01,9800,513,15,598,229,38.8,2.29,62.2,2.89,37.4,9.36,80000
W36X800,236,42.6,2.38,18,4.29,5.24,64700,3040,16.6,3650,4200,467,4.22,743,5.14,38.3,1060,1540000
W36X652,192,41.1,1.97,17.6,3.54,4.49,50600,2460,16.2,2910,3230,367,4.1,581,4.96,37.5,593,1130000
W36X529,156,39.8,1.61,17.2,2.91,3.86,39600,1990,16,2330,2490,289,4,454,4.8,36.9,327,846000
W36X487,143,39.3,1.5,17.1,2.68,3.63,36000,1830,15.8,2130,2250,263,3.96,412,4.74,36.7,258,754000
W36X441,130,38.9,1.36,17,2.44,3.39,32100,1650,15.7,1910,1990,235,3.92,368,4.69,36.4,194,661000
W36X395,116,38.4,1.22,16.8,2.2,3.15,28500,1490,15.7,1710,1750,208,3.88,325,4.61,36.2,142,575000
W36X361,106,38,1.12,16.7,2.01,2.96,25700,1350,15.6,1550,1570,188,3.85,293,4.58,36,109,509000
W36X330,97,37.7,1.02,16.6,1.85,2.8,23300,1240,15.5,1410,1420,171,3.83,265,4.53,35.8,84.3,456000
W36X302,88.8,37.3,0.945,16.7,1.68,2.63,21100,1130,15.4,1280,1300,156,3.82,241,4.53,35.7,64.3,412000
W36X282,82.9,37.1,0.885,16.6,1.57,2.52,19600,1050,15.4,1190,1200,144,3.8,223,4.5,35.5,52.7,378000
W36X262,77,36.9,0.84,16.6,1.44,2.39,17900,972,15.3,1100,1090,132,3.76,204,4.46,35.4,41.6,342000
W36X247,72.5,36.7,0.8,16.5,1.35,2.3,16700,913,15.2,1030,1010,123,3.74,190,4.42,35.3,34.7,316000
W36X231,68.1,36.5,0.76,16.5,1.26,2.21,15600,854,15.1,963,940,114,3.71,176,4.4,35.2,28.7,292000
W36X256,75.4,37.5,0.96,12.2,1.73,2.48,16800,895,14.9,1040,528,86.5,2.65,137,3.25,35.7,52.9,168000
W36X232,68.1,37.1,0.87,12.1,1.57,2.32,15000,809,14.8,936,468,77.2,2.62,122,3.21,35.6,39.6,148000
W36X210,61.8,36.7,0.83,12.2,1.36,2.11,13200,719,14.6,833,411,67.5,2.58,107,3.18,35.3,28,128000
W36X194,57,36.5,0.765,12.1,1.26,2.01,12100,664,14.6,767,375,61.9,2.56,97.7,3.15,35.2,22.2,116000
W36X182,53.6,36.3,0.725,12.1,1.18,1.93,11300,623,14.5,718,347,57.6,2.55,90.7,3.13,35.2,18.5,107000
W36X170,50.1,36.2,0.68,12,1.1,1.85,10500,581,14.5,668,320,53.2,2.53,83.8,3.11,35.1,15.1,98500
W36X160,47,36,0.65,12,1.02,1.77,9760,542,14.4,624,295,49.1,2.5,77.3,3.08,35,12.4,90200
W36X150,44.2,35.9,0.625,12,0.94,1.69,9040,504,14.3,581,270,45.1,2.47,70.9,3.06,34.9,10.1,82200
W36X135,39.7,35.6,0.6,12,0.79,1.54,7800,439,14,509,225,37.7,2.38,59.7,2.99,34.8,7,68100
W33X387,114,36,1.26,16.2,2.28,3.07,24300,1350,14.6,1560,1620,200,3.77,312,4.49,33.7,148,459000
W33X354,104,35.6,1.16,16.1,2.09,2.88,22000,1240,14.5,1420,1460,181,3.74,282,4.44,33.5,115,408000
W33X318,93.6,35.2,1.04,16,1.89,2.68,19500,1110,14.5,1270,1290,161,3.71,250,4.39,33.3,84.4,357000
W33X291,85.7,34.8,0.96,15.9,1.73,2.52,17700,1020,14.4,1160,1160,146,3.68,226,4.35,33.1,65.1,319000
W33X263,77.5,34.5,0.87,15.8,1.57,2.36,15900,919,14.3,1040,1040,131,3.66,202,4.31,33,48.7,281000
W33X241,71,34.2,0.83,15.9,1.4,2.19,14200,831,14.1,940,933,118,3.62,182,4.29,32.8,36.2,251000
W33X221,65.2,33.9,0.775,15.8,1.28,2.06,12900,759,14.1,857,840,106,3.59,164,4.25,32.7,27.8,224000
W33X201,59.2,33.7,0.715,15.7,1.15,1.94,11600,686,14,773,749,95.2,3.56,147,4.21,32.5,20.8,198000
W33X169,49.5,33.8,0.67,11.5,1.22,1.92,9290,549,13.7,629,310,53.9,2.5,82.4,3.03,32.6,17.7,82400
W33X152,44.8,33.5,0.635,11.6,1.06,1.76,8160,487,13.5,559,273,47.2,2.47,73.9,3.01,32.4,12.4,71700
W33X141,41.6,33.3,0.605,11.5,0.96,1.66,7450,448,13.4,514,246,42.7,2.43,66.9,2.98,32.3,9.7,64400
W33X130,38.3,33.1,0.58,11.5,0.855,1.56,6710,406,13.2,467,218,37.9,2.39,59.5,2.94,32.2,7.37,56600
W33X118,34.7,32.9,0.55,11.5,0.74,1.44,5900,359,13,415,187,32.6,2.32,51.3,2.89,32.1,5.3,48300
W30X391,115,33.2,1.36,15.6,2.44,3.23,20700,1250,13.4,1450,1550,198,3.67,310,4.37,30.8,173,366000
W30X357,105,32.8,1.24,15.5,2.24,3.03,18700,1140,13.3,1320,1390,179,3.64,279,4.32,30.6,134,324000
W30X326,95.8,32.4,1.14,15.4,2.05,2.84,16800,1040,13.2,1190,1240,162,3.6,252,4.27,30.4,103,287000
W30X292,85.9,32,1.02,15.3,1.85,2.64,14900,930,13.2,1060,1100,144,3.58,223,4.22,30.2,75.2,250000
W30X261,76.9,31.6,0.93,15.2,1.65,2.44,13100,829,13.1,943,959,127,3.53,196,4.16,30,54.1,215000
W30X235,69.2,31.3,0.83,15.1,1.5,2.29,11700,748,13,847,855,114,3.51,175,4.13,29.8,40.3,190000
W30X211,62.2,30.9,0.775,15.1,1.32,2.11,10300,665,12.9,751,757,100,3.49,155,4.1,29.6,28.4,155000
W30X191,56.3,30.7,0.71,15,1.19,1.97,9200,600,12.8,675,673,89.5,3.46,138,4.07,29.5,21,146000
W30X173,51,30.4,0.655,15,1.07,1.85,8230,541,12.7,607,598,79.8,3.42,123,4.03,29.4,15.6,129000
w30X148,43.5,30.7,0.65,10.5,1.18,1.83,6680,436,12.4,500,227,43.3,2.28,68,2.77,29.5,14.5,49400
